clickability_test_id,headline,eyecatcher_id,impressions,clicks,villain_prob,villain_pred,victim_prob,victim_pred
546dd17e26714c82cc00001c,"Let’s See … Hire Cops, Pay Teachers, Buy Books For Schools. Or Kill People. Hard Choice, Right?",546dce659ad54ec65b000041,3118,8,0.150390625,0,0.79296875,1
546e01d626714c6c4400004e,People Sent This Lesbian Questions And Her Raised Eyebrow Game Shames Us All,546d1b4bfd3617f091000041,4587,130,0.392578125,0,0.6015625,1
546dd17e26714c82cc00001c,$3 Million Is What It Takes For A State To Legally Kill Someone,546dce659ad54ec65b000041,3017,19,0.1875,0,0.90625,1
546dd17e26714c82cc00001c,The Fact That Sometimes Innocent People Are Executed Is Enough To End The Death Penalty. But This?,546dce659ad54ec65b000041,2974,26,0.022705078,0,0.78125,1
546dd17e26714c82cc00001c,Reason #351 To End The Death Penalty: It Costs $3 Million Per Case.,546dce659ad54ec65b000041,3050,10,0.023681641,0,0.125976563,0
546dd17e26714c82cc00001c,"I Was Already Against The Death Penalty, But Now That I See What It Costs Us All? Ahem.",546dce659ad54ec65b000041,3061,20,0.020141602,0,0.4140625,0
546dd17e26714c82cc00001c,I'll Say It: It's Not OK For States To Legally Murder People.,546dce659ad54ec65b000041,2997,20,0.421875,0,0.9609375,1
546dd73684ad3817bc000048,The Fact That Sometimes Innocent People Are Executed Is Enough To End The Death Penalty. But This?,546dce659ad54ec65b000041,2959,29,0.022705078,0,0.78125,1
546dd73684ad3817bc000048,The Fact That Sometimes Innocent People Are Executed Is Enough To End The Death Penalty. But This?,546dce6d84ad380b5900002a,3086,16,0.022705078,0,0.78125,1
546dd73684ad3817bc000048,The Fact That Sometimes Innocent People Are Executed Is Enough To End The Death Penalty. But This?,546dce6e84ad3834f0000047,3068,16,0.022705078,0,0.78125,1
546dd73684ad3817bc000048,The Fact That Sometimes Innocent People Are Executed Is Enough To End The Death Penalty. But This?,546dce6e26714c1ad900001f,2988,19,0.022705078,0,0.78125,1
546e0d339ad54e667a00005a,You Guys. Solar-Powered Boat Schools. Repeat. Solar. Powered. Boat. Schools. What?,546a84cc5b606a1fa0000022,4596,14,0.001365662,0,0.019165039,0
